chr start end name
chr1 713200 715800 tss_1
chr1 762000 764243 tss_2
chr1 839800 840838 tss_3
chr1 858843 861243 tss_4
chr1 875800 878800 tss_5
chr1 893800 895400 tss_6
chr1 895438 896643 tss_7
chr1 901443 902643 tss_8
chr1 911600 912043 tss_9
chr1 934200 937600 tss_10
chr1 948200 950438 tss_11
chr1 954800 957200 tss_12
chr1 993600 995400 tss_13
chr1 999200 999800 tss_14
chr1 1004400 1005000 tss_15
chr1 1009400 1009800 tss_16
chr1 1051200 1052443 tss_17
chr1 1092800 1094000 tss_18
chr1 1098000 1101800 tss_19
chr1 1166000 1168638 tss_20
chr1 1172800 1174200 tss_21
chr1 1207800 1210238 tss_22
chr1 1217000 1217400 tss_23
chr1 1240200 1245000 tss_24
chr1 1259600 1261200 tss_25
chr1 1282800 1286638 tss_26
chr1 1290843 1291243 tss_27
chr1 1291643 1296200 tss_28
chr1 1309600 1312000 tss_29
chr1 1333400 1337000 tss_30
chr1 1341600 1343638 tss_31
chr1 1355000 1355600 tss_32
chr1 1356200 1357200 tss_33
chr1 1361200 1362400 tss_34
chr1 1365600 1372600 tss_35
chr1 1397600 1398000 tss_36
chr1 1406000 1408400 tss_37
chr1 1446400 1449000 tss_38
chr1 1474800 1476243 tss_39
chr1 1508800 1511200 tss_40
chr1 1549200 1552400 tss_41
chr1 1562600 1563800 tss_42
chr1 1565838 1566238 tss_43
chr1 1589800 1592038 tss_44
chr1 1622238 1625238 tss_45
chr1 1654800 1656638 tss_46
chr1 1675438 1679638 tss_47
chr1 1708400 1712000 tss_48
chr1 1713600 1714600 tss_49
chr1 1820200 1823838 tss_50
chr1 1839800 1841243 tss_51
chr1 1850200 1852800 tss_52
chr1 1891400 1891800 tss_53
chr1 1980800 1982600 tss_54
chr1 2064200 2065443 tss_55
chr1 2065600 2067600 tss_56
chr1 2120800 2122200 tss_57
chr1 2124800 2127043 tss_58
chr1 2135843 2136400 tss_59
chr1 2136600 2137200 tss_60
chr1 2138400 2140243 tss_61
chr1 2143800 2144800 tss_62
chr1 2158200 2159400 tss_63
chr1 2160200 2166400 tss_64
chr1 2245800 2247200 tss_65
chr1 2253443 2254043 tss_66
chr1 2321800 2324600 tss_67
chr1 2343200 2346000 tss_68
chr1 2456638 2458443 tss_69
chr1 2477400 2480400 tss_70
chr1 2487000 2489000 tss_71
chr1 2516600 2519043 tss_72
chr1 2573600 2575243 tss_73
chr1 2985243 2985843 tss_74
chr1 2986200 2986843 tss_75
chr1 2987243 2988000 tss_76
chr1 3370800 3374800 tss_77
chr1 3388000 3388600 tss_78
chr1 3446800 3448043 tss_79
chr1 3540443 3542600 tss_80
chr1 3565838 3566843 tss_81
chr1 3568238 3570200 tss_82
chr1 3663000 3664243 tss_83
chr1 3688000 3691200 tss_84
chr1 3711800 3713800 tss_85
chr1 3772800 3774800 tss_86
chr1 3815800 3818400 tss_87
chr1 4715468 4716468 tss_88
chr1 6051268 6054068 tss_89
chr1 6085468 6088668 tss_90
chr1 6258068 6260468 tss_91
chr1 6264668 6267268 tss_92
chr1 6268668 6269868 tss_93
chr1 6294668 6296668 tss_94
chr1 6305068 6305468 tss_95
chr1 6320068 6320868 tss_96
chr1 6321268 6321668 tss_97
chr1 6444868 6446468 tss_98
chr1 6452068 6454668 tss_99
chr1 6479068 6480068 tss_100
chr1 6506068 6511468 tss_101
chr1 6544868 6546668 tss_102
chr1 6548868 6551868 tss_103
chr1 6556068 6558068 tss_104
chr1 6613068 6615468 tss_105
chr1 6639268 6641268 tss_106
chr1 6659068 6664668 tss_107
chr1 6672468 6676068 tss_108
chr1 6684668 6686268 tss_109
chr1 6760468 6762268 tss_110
chr1 6843868 6845668 tss_111
chr1 7740068 7741068 tss_112
chr1 7763868 7765068 tss_113
chr1 7830468 7832468 tss_114
chr1 7843268 7844868 tss_115
chr1 7886668 7888468 tss_116
chr1 8013668 8015068 tss_117
chr1 8020668 8022868 tss_118
chr1 8081668 8087868 tss_119
chr1 8377868 8378668 tss_120
chr1 8481868 8484868 tss_121
chr1 8585068 8586268 tss_122
chr1 8761068 8764068 tss_123
chr1 8875668 8878868 tss_124
chr1 8934668 8940868 tss_125
chr1 9128868 9130068 tss_126
chr1 9187468 9189868 tss_127
chr1 9240668 9243468 tss_128
chr1 9258468 9258868 tss_129
chr1 9261068 9262868 tss_130
